v1,v2,v3,v4,v5,Duration,AnswerChannel,ID,Name_Published,IP,Longitude,Latitude,Country,Province,City,Equipment,OS,Browser,ScreenResolution,v12,Pre_Prefence_Nuts,Group,X,Y3,Y2,Perceived_Valence_Comment,Brand_Attitude_Bandwagon,Post_Preference_Nuts,Y1,Recall_Product,Recall_Preference_Nuts,Recall_Influencer,W1,W2,W3,W4,Recall_Likeness_Influencer,Recall_Likeness_Nuts,Recall_Valence_Comment,Recall_Incentives,Gender,Age,Income,filter_$
QJ7BBn7R,qM6ZAPdM,cdm****OxjRw,2023-02-09 18:25:29,2023-02-09 18:28:59,210,1,i2AJfe,电商直播影响力研究,120.244.129.141,116.3974589,39.9388838,中国,北京市,市辖区,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-D主播,6,4,4,4,4,5,4,5,4,3,6,4,7,81,70,91,4,4,1,5,2,4,6,1
JaMg8k7w,5LwKnX2L,cdm****Z170T,2023-02-09 10:43:03,2023-02-09 10:45:46,163,1,i2AJfe,电商直播影响力研究,36.26.14.166,120.7595220,30.7546640,中国,浙江省,嘉兴市,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-D主播,6,4,4,5,6,7,5,6,6,3,6,4,3,66,78,82,5,6,1,5,2,3,5,1
a5LmWpMW,kMrKqOn7,cdm****I4Min,2023-02-09 09:06:39,2023-02-09 09:10:58,259,1,i2AJfe,电商直播影响力研究,218.29.126.52,113.6482322,34.7492146,中国,河南省,郑州市,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-D主播,5,4,4,2,5,7,2,5,3,3,5,4,3,55,73,89,4,4,1,5,1,2,5,1
XRMWp47z,37Ko8zQ7,cdm****V0WeK,2023-02-08 20:49:30,2023-02-08 20:52:56,206,1,i2AJfe,电商直播影响力研究,60.208.177.48,117.0413500,36.6623208,中国,山东省,济南市,COMPUTER,Windows,Chrome,1600px*1000px,进入直播室-D主播,6,4,4,5,6,6,5,6,4,3,6,4,5,65,75,68,4,5,1,5,2,4,5,1
wWMRE5e9,KLOG4p3L,cdm****QvRXW,2023-02-08 18:44:44,2023-02-08 18:48:31,227,1,i2AJfe,电商直播影响力研究,110.228.232.99,114.4695340,38.0790590,中国,河北省,石家庄市,COMPUTER,Windows,Chrome,1366px*768px,进入直播室-D主播,6,4,4,3,6,6,5,6,6,3,6,4,6,94,79,94,4,6,1,5,2,3,4,1
qVMJxRLn,xLVl53bM,cdm****O5Q2n,2023-02-08 11:35:04,2023-02-08 11:39:58,294,1,i2AJfe,电商直播影响力研究,114.92.24.54,121.4767528,31.2243490,中国,上海市,市辖区,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-D主播,6,4,4,3,5,7,5,6,5,3,6,4,4,54,71,71,4,5,1,5,2,3,6,1
Kme3kDeO,37Ko8BY7,cdm****FMmpV,2023-02-07 20:46:30,2023-02-07 20:50:12,222,1,i2AJfe,电商直播影响力研究,223.73.11.208,116.7135520,23.3848080,中国,广东省,汕头市,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-D主播,6,4,4,4,6,7,3,6,4,3,6,4,5,70,85,35,4,4,1,5,2,2,4,1
a8MZGy73,G7Xlx9D7,cdm****eLepf,2023-02-07 19:33:59,2023-02-07 19:39:00,301,1,i2AJfe,电商直播影响力研究,112.38.62.230,115.9862978,36.4417325,中国,山东省,聊城市,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-D主播,6,4,4,5,6,6,6,6,5,3,6,4,5,50,85,80,4,5,1,5,2,2,3,1
ZleNDW7o,5M2Zxy8M,cdm****kwzco,2023-02-07 18:16:41,2023-02-07 18:21:28,287,1,i2AJfe,电商直播影响力研究,223.97.164.234,119.1683632,36.6947521,中国,山东省,潍坊市,MOBILE,Android,Chrome,360px*780px,进入直播室-D主播,6,4,4,4,6,6,6,6,5,3,6,4,5,85,75,73,4,5,1,5,2,2,3,1
pxMopR7n,leNl2ZB7,cdm****Wikmh,2023-02-11 16:28:15,2023-02-11 16:33:30,315,1,i2AJfe,电商直播影响力研究,117.173.138.71,104.0781105,30.6602396,中国,四川省,成都市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-D主播,6,4,5,3,6,6,6,7,2,3,5,4,3,20,60,85,5,4,1,5,1,2,3,1
o4en4d71,G7XlxvG7,cdm****vj5ma,2023-02-11 11:51:29,2023-02-11 11:54:21,172,1,i2AJfe,电商直播影响力研究,223.166.164.198,121.5079670,30.8444130,中国,上海市,市辖区,MOBILE,Android,WeChat,360px*800px,进入直播室-D主播,5,4,5,2,4,7,5,4,2,3,4,4,2,75,94,85,5,4,1,5,2,2,4,1
r2MdxbMw,kM1ZOzO7,cdm****P5giu,2023-02-11 10:59:05,2023-02-11 11:01:46,161,1,i2AJfe,电商直播影响力研究,106.115.114.242,114.4721157,36.6064572,中国,河北省,邯郸市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-D主播,6,4,5,6,6,6,5,6,5,3,6,4,5,59,80,80,5,6,1,5,1,2,3,1
ZG7XY5L3,4enbk2ne,cdm****ABrv1,2023-02-09 19:05:44,2023-02-09 19:10:48,304,1,i2AJfe,电商直播影响力研究,49.93.77.53,118.7377507,32.0992691,中国,江苏省,南京市,COMPUTER,Windows,Chrome,1494px*934px,进入直播室-D主播,6,4,5,3,6,7,2,6,2,3,6,4,3,70,80,75,4,3,1,4,2,2,5,0
VnePWXLa,qM6ZAGdM,cdm****oXuss,2023-02-09 16:53:14,2023-02-09 16:56:11,177,1,i2AJfe,电商直播影响力研究,221.212.20.206,126.6520214,45.7572300,中国,黑龙江省,哈尔滨市,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-D主播,6,4,5,4,5,4,4,5,4,3,5,4,6,68,74,40,4,4,1,5,1,4,3,1
2AM93dL6,BepK3dBL,cdm****RseAt,2023-02-09 14:41:31,2023-02-09 14:45:12,221,1,i2AJfe,电商直播影响力研究,112.12.37.230,120.6837040,27.9911397,中国,浙江省,温州市,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-D主播,6,4,5,5,6,7,5,6,7,3,6,4,5,76,58,59,5,5,1,5,1,3,5,1
6QL0aVeb,yevKd3AM,cdm****LRsx5,2023-02-09 14:36:13,2023-02-09 14:44:11,478,1,i2AJfe,电商直播影响力研究,175.13.254.19,113.0240446,28.1978805,中国,湖南省,长沙市,COMPUTER,Windows,Chrome,1440px*900px,进入直播室-D主播,6,4,5,7,6,6,6,7,6,3,6,4,5,90,80,86,5,6,1,5,1,4,5,1
027a6ELA,xLVl5zbM,cdm****Q5ESe,2023-02-08 18:52:25,2023-02-08 18:59:46,441,1,i2AJfe,电商直播影响力研究,114.82.101.202,121.8024090,30.8903430,中国,上海市,市辖区,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-D主播,6,4,5,6,5,7,7,6,6,3,7,4,6,84,89,96,5,6,1,5,1,4,5,1
wz7A1X7D,nePDdNve,cdm****oBuVa,2023-02-08 13:19:56,2023-02-08 13:23:03,187,1,i2AJfe,电商直播影响力研究,117.136.74.146,114.3028320,30.5410820,中国,湖北省,武汉市,MOBILE,iOS,Apple WebKit,414px*896px,进入直播室-D主播,6,4,5,6,6,7,6,7,7,3,6,4,6,80,96,99,4,6,1,5,2,4,6,1
vp7YEx7a,nePDdnXe,cdm****Ubc4w,2023-02-12 14:18:17,2023-02-12 14:25:59,462,1,i2AJfe,电商直播影响力研究,221.13.1.7,106.7209510,26.5792150,中国,贵州省,贵阳市,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-D主播,6,4,6,6,6,7,6,7,5,3,6,4,6,90,86,75,6,7,1,5,2,3,6,1
JyevOWM9,p7Yxvy0M,cdm****oOs4d,2023-02-10 13:00:32,2023-02-10 13:44:34,2642,1,i2AJfe,电商直播影响力研究,1.82.75.178,109.7368473,38.2878278,中国,陕西省,榆林市,COMPUTER,Windows,WeChat,1494px*934px,进入直播室-D主播,6,4,6,6,7,7,6,6,5,3,6,4,6,76,68,57,6,7,1,5,2,4,5,1
0ve8vB7p,z7Aym8X7,cdm****PcxaM,2023-02-09 21:10:20,2023-02-09 21:15:23,303,1,i2AJfe,电商直播影响力研究,123.171.12.99,115.9862978,36.4417325,中国,山东省,聊城市,COMPUTER,Windows,Chrome,804px*360px,进入直播室-D主播,6,4,6,7,6,7,5,7,7,3,6,4,6,90,70,68,6,7,1,5,2,4,4,1
Jz7lgxMQ,Ke5ZpgvM,cdm****bP3j8,2023-02-09 11:40:25,2023-02-09 11:43:20,175,1,i2AJfe,电商直播影响力研究,140.206.195.189,121.4767528,31.2243490,中国,上海市,市辖区,COMPUTER,Windows,Chrome,1366px*768px,进入直播室-D主播,7,4,6,6,7,7,6,7,6,3,7,4,5,62,49,50,5,6,1,5,2,2,5,1
1kMrG679,ve8m094M,cdm****hfksm,2023-02-09 10:08:41,2023-02-09 10:13:02,261,1,i2AJfe,电商直播影响力研究,111.183.86.157,114.8955721,30.3801463,中国,湖北省,鄂州市,COMPUTER,Windows,Firefox,1963px*1104px,进入直播室-D主播,6,4,6,6,7,7,7,7,7,3,7,4,6,65,79,100,6,7,1,5,1,5,4,1
wWMRl1L9,yevKd2bM,cdm****5kgeW,2023-02-14 18:14:04,2023-02-14 18:17:00,176,1,i2AJfe,电商直播影响力研究,123.232.123.3,117.0375530,36.6500920,中国,山东省,济南市,MOBILE,iOS,WeChat,414px*896px,进入直播室-D主播,7,4,1,6,6,6,5,4,4,3,7,4,6,100,100,100,1,4,1,5,2,5,5,1
0JekmY7z,5LwKn2qL,cdm****RtAjK,2023-02-13 10:06:58,2023-02-13 10:11:14,256,1,i2AJfe,电商直播影响力研究,112.36.205.45,117.0413500,36.6623208,中国,山东省,济南市,MOBILE,Android,WeChat,400px*649px,进入直播室-D主播,5,4,2,3,5,6,6,6,5,3,5,4,6,85,81,76,3,5,1,5,2,2,5,1
rDMxKley,z7AympQ7,cdm****uvTDq,2023-02-14 18:17:34,2023-02-14 18:22:07,273,1,i2AJfe,电商直播影响力研究,112.38.168.122,117.8597610,36.0679520,中国,山东省,济南市,TABLET,iOS,WeChat,810px*1080px,进入直播室-D主播,6,4,3,3,5,7,4,5,3,3,7,4,2,25,43,16,2,4,1,5,2,2,3,1
VnePBy7a,p7YxvKbM,cdm****WcKHN,2023-02-14 18:39:53,2023-02-14 18:43:05,192,1,i2AJfe,电商直播影响力研究,114.85.138.107,121.4445880,31.2084080,中国,上海市,市辖区,MOBILE,iOS,WeChat,375px*667px,进入直播室-D主播,6,4,3,5,5,5,5,5,5,3,6,4,6,69,72,42,3,4,1,5,2,4,4,1
Wo7jXBew,WMRlRwKL,cdm****pp9ek,2023-02-13 10:30:49,2023-02-13 10:33:34,165,1,i2AJfe,电商直播影响力研究,123.147.247.104,106.6924340,29.0353050,中国,重庆市,市辖区,MOBILE,Android,WeChat,400px*892px,进入直播室-D主播,6,4,4,6,6,6,4,5,5,3,6,4,3,30,53,31,4,5,1,5,2,2,3,1
Jyevpb79,KLOG4Y4L,cdm****JqBtd,2023-02-13 10:45:18,2023-02-13 10:48:15,177,1,i2AJfe,电商直播影响力研究,111.225.239.156,117.9410327,40.9762977,中国,河北省,承德市,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-D主播,6,4,4,3,6,6,6,6,6,3,6,4,5,78,97,96,5,6,1,5,1,4,4,1
0JekrYLz,DMxKRl5e,cdm****yZq6z,2023-02-13 17:32:29,2023-02-13 17:35:28,179,1,i2AJfe,电商直播影响力研究,182.108.122.239,117.9490096,28.4466400,中国,江西省,上饶市,COMPUTER,Windows,Chrome,2048px*1152px,进入直播室-D主播,5,4,4,5,5,6,6,6,5,3,5,4,2,30,80,80,4,5,1,5,1,2,5,1
wWMRaDe9,9LQlnYQ7,cdm****fAsCr,2023-02-14 12:02:51,2023-02-14 12:06:06,195,1,i2AJfe,电商直播影响力研究,118.212.213.45,115.9191298,28.6745131,中国,江西省,南昌市,MOBILE,Android,WeChat,360px*780px,进入直播室-D主播,6,4,4,6,7,6,5,6,6,3,6,4,5,81,46,38,4,5,1,5,2,3,7,1
2AM96976,BMDgY0Ke,cdm****JvscD,2023-02-14 18:30:34,2023-02-14 18:34:06,212,1,i2AJfe,电商直播影响力研究,119.143.84.210,113.3893937,23.1565381,中国,广东省,广州市,MOBILE,Android,WeChat,400px*866px,进入直播室-D主播,5,4,4,5,5,6,2,5,5,3,5,4,2,20,90,10,4,5,1,5,2,2,4,1
QJ7Bd1eR,ve8m0jzM,cdm****BMMyC,2023-02-13 16:50:12,2023-02-13 16:55:16,304,1,i2AJfe,电商直播影响力研究,42.232.207.52,113.2543680,33.7182420,中国,河南省,平顶山市,MOBILE,Android,Chrome,360px*792px,进入直播室-D主播,5,4,5,6,5,5,7,6,3,3,5,4,5,65,37,6,5,6,1,5,1,2,3,1
Xxebz6eD,kMrKqQ07,cdm****rwzak,2023-02-13 16:50:16,2023-02-13 16:54:05,229,1,i2AJfe,电商直播影响力研究,221.212.214.232,126.6889190,45.7412670,中国,黑龙江省,哈尔滨市,MOBILE,Android,WeChat,400px*880px,进入直播室-D主播,6,4,5,6,7,7,5,6,5,3,6,4,2,21,44,40,4,6,1,5,1,5,6,1
gBMDA37d,qM6ZAdvM,cdm****a8JSv,2023-02-14 18:38:54,2023-02-14 18:47:48,534,1,i2AJfe,电商直播影响力研究,36.44.140.3,108.9410144,34.2740836,中国,陕西省,西安市,MOBILE,iOS,WeChat,320px*568px,进入直播室-D主播,5,4,5,5,5,4,5,5,5,3,5,4,5,60,66,65,5,5,1,5,1,6,2,1
D37KAleE,BepK3wZL,cdm****UvCyR,2023-02-13 16:53:08,2023-02-13 16:55:16,128,1,i2AJfe,电商直播影响力研究,110.80.20.170,118.1226075,24.4829228,中国,福建省,厦门市,COMPUTER,Windows,WeChat,1366px*768px,进入直播室-D主播,6,4,6,5,6,7,5,6,5,3,6,4,5,83,47,46,6,6,1,5,1,2,5,1
r2Md0NMw,JekbX0dL,cdm****11b30,2023-02-14 11:59:24,2023-02-14 12:02:00,156,1,i2AJfe,电商直播影响力研究,1.50.148.47,106.2630970,38.4716340,中国,宁夏回族自治区,银川市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-D主播,6,4,6,7,6,7,6,6,5,3,6,4,3,62,18,72,4,4,1,5,1,2,2,1
VnePRo7a,xLVl5OZM,cdm****Iw0f4,2023-02-11 21:34:07,2023-02-11 21:36:36,149,1,i2AJfe,电商直播影响力研究,183.94.121.235,114.2535510,30.6408360,中国,湖北省,武汉市,COMPUTER,Windows,Chrome,1177px*706px,进入直播室-E主播,6,5,4,3,6,1,5,6,3,3,6,5,3,33,81,82,4,4,3,5,2,2,5,1
VKe560Mx,0eyKjlP7,cdm****axStH,2023-02-11 12:12:11,2023-02-11 12:14:52,161,1,i2AJfe,电商直播影响力研究,113.54.206.101,104.0781105,30.6602396,中国,四川省,成都市,COMPUTER,Windows,Chrome,2560px*1440px,进入直播室-E主播,6,5,4,6,5,1,7,3,4,3,6,5,4,60,80,80,4,2,3,5,1,2,4,1
vp7Ym07a,9LQlnoB7,cdm****4kJxb,2023-02-09 09:59:05,2023-02-09 10:01:12,127,1,i2AJfe,电商直播影响力研究,120.197.38.10,113.3893937,23.1565381,中国,广东省,广州市,COMPUTER,Windows,Chrome,1600px*900px,进入直播室-E主播,6,5,4,4,6,1,6,4,2,3,6,5,2,15,100,100,3,4,3,5,2,2,4,1
rDMx0mMy,nePDd3ve,cdm****7KWhh,2023-02-08 19:47:17,2023-02-08 19:50:21,184,1,i2AJfe,电商直播影响力研究,101.229.126.7,121.4767528,31.2243490,中国,上海市,市辖区,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-E主播,7,5,4,6,7,1,6,7,2,3,7,5,2,10,96,92,3,2,3,1,1,4,7,0
nxLVvaLY,kMrKqwn7,cdm****JZUUo,2023-02-08 15:01:14,2023-02-08 15:06:56,342,1,i2AJfe,电商直播影响力研究,39.146.28.111,116.3635380,30.8460980,中国,安徽省,安庆市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-E主播,6,5,4,5,6,1,6,6,1,3,6,5,1,1,31,31,3,2,3,5,1,2,4,1
2AM94re6,nePDdOne,cdm****5OdPd,2023-02-08 13:54:01,2023-02-08 13:56:04,123,1,i2AJfe,电商直播影响力研究,221.10.55.190,104.0781105,30.6602396,中国,四川省,成都市,COMPUTER,Windows,Chrome,1746px*982px,进入直播室-E主播,6,5,4,5,6,1,6,5,3,3,6,5,6,91,71,70,3,3,3,5,1,3,4,1
D37KPGLE,oe4ZJqX7,cdm****5R7uj,2023-02-07 20:18:04,2023-02-07 20:20:22,138,1,i2AJfe,电商直播影响力研究,61.157.16.35,104.0781105,30.6602396,中国,四川省,成都市,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-E主播,6,5,4,5,6,2,5,6,6,3,6,5,3,60,85,85,4,6,3,5,2,2,5,1
3kM1PQe1,oe4ZJOq7,cdm****ysXAn,2023-02-11 23:31:59,2023-02-11 23:36:59,300,1,i2AJfe,电商直播影响力研究,116.249.109.231,102.7821990,24.9595580,中国,云南省,昆明市,MOBILE,Android,Chrome,360px*800px,进入直播室-E主播,7,5,5,7,7,1,6,6,4,3,6,5,3,35,78,83,4,3,3,5,1,4,6,1
JyevPW79,2MdbVZXL,cdm****jkAV0,2023-02-11 12:49:06,2023-02-11 12:51:15,129,1,i2AJfe,电商直播影响力研究,117.173.24.130,104.1873070,30.8175290,中国,四川省,成都市,MOBILE,iOS,WeChat,414px*896px,进入直播室-E主播,5,5,5,6,5,2,6,4,3,3,5,5,6,72,61,80,5,4,3,5,2,2,4,1
1kMrPVL9,AM969zd7,cdm****IDyIS,2023-02-10 20:56:35,2023-02-10 21:04:09,454,1,i2AJfe,电商直播影响力研究,112.8.37.207,118.3363903,35.0525874,中国,山东省,临沂市,MOBILE,Android,WeChat,400px*889px,进入直播室-E主播,6,5,5,3,6,1,7,4,5,3,6,5,5,57,65,45,4,3,3,5,1,4,5,1
D37KEveE,yevKd1XM,cdm****ifAIb,2023-02-10 19:17:52,2023-02-10 19:23:15,323,1,i2AJfe,电商直播影响力研究,223.104.35.3,116.5294780,31.7180350,中国,安徽省,六安市,MOBILE,iOS,WeChat,390px*844px,进入直播室-E主播,6,5,5,6,6,1,4,5,2,3,6,5,3,16,25,71,4,4,3,2,1,2,3,0
xpLzvjLE,qM6ZA00M,cdm****7h1py,2023-02-10 18:17:23,2023-02-10 18:25:21,478,1,i2AJfe,电商直播影响力研究,27.200.101.61,117.1238310,36.1890920,中国,山东省,泰安市,MOBILE,Android,WeChat,401px*889px,进入直播室-E主播,6,5,5,6,6,1,7,2,2,3,6,5,6,70,100,90,2,2,3,5,2,3,5,1
0JekPAMz,Ke5ZpXyM,cdm****afxHP,2023-02-09 19:39:47,2023-02-09 19:44:47,300,1,i2AJfe,电商直播影响力研究,120.84.10.42,113.1258988,23.0229910,中国,广东省,佛山市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-E主播,6,5,5,3,6,1,5,5,5,3,6,5,1,55,81,90,4,5,3,5,1,4,6,1
1kMrVVM9,VMJjyj3M,cdm****nUaEE,2023-02-09 19:07:51,2023-02-09 19:11:45,234,1,i2AJfe,电商直播影响力研究,118.212.203.120,114.9385947,25.8322094,中国,江西省,赣州市,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-E主播,6,5,5,6,6,1,7,3,2,3,6,5,6,62,98,97,4,5,3,5,2,2,3,1
a5LmPK7W,WLGdw0pe,cdm****0IzTz,2023-02-09 18:59:44,2023-02-09 19:03:09,205,1,i2AJfe,电商直播影响力研究,111.14.17.185,115.4691250,35.2401634,中国,山东省,菏泽市,TABLET,iOS,Apple WebKit,375px*667px,进入直播室-E主播,6,5,5,6,6,1,6,6,4,3,6,5,5,60,80,70,4,5,3,5,2,2,1,1
D37KrKME,JekbX8kL,cdm****vevPy,2023-02-09 18:16:02,2023-02-09 18:18:42,160,1,i2AJfe,电商直播影响力研究,116.27.150.229,112.7795980,22.2530130,中国,广东省,江门市,MOBILE,Android,Chrome,360px*803px,进入直播室-E主播,6,5,5,2,6,2,6,4,2,3,5,5,3,18,31,43,4,2,3,5,1,2,5,1
XxebylLD,5LwKnO2L,cdm****XmJcS,2023-02-09 18:15:02,2023-02-09 18:18:42,220,1,i2AJfe,电商直播影响力研究,150.255.124.197,110.3189135,20.0143207,中国,海南省,海口市,COMPUTER,Windows,Chrome,1280px*720px,进入直播室-E主播,6,5,5,6,6,1,7,3,3,3,6,5,2,33,80,70,4,3,3,5,2,2,2,1
Kme3mD7O,aMgbmRwe,cdm****mPm1S,2023-02-08 17:30:00,2023-02-08 17:35:06,306,1,i2AJfe,电商直播影响力研究,223.104.4.48,118.7377507,32.0992691,中国,江苏省,南京市,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-E主播,6,5,5,6,6,1,7,6,3,3,6,5,6,95,100,92,4,3,3,5,2,2,5,1
1kMr10e9,AM969bk7,cdm****UHMQG,2023-02-11 19:30:24,2023-02-11 19:31:44,80,1,i2AJfe,电商直播影响力研究,112.224.23.120,116.6989540,37.1090260,中国,山东省,德州市,MOBILE,Android,Chrome,360px*748px,进入直播室-E主播,6,5,6,7,6,1,7,5,5,3,6,5,6,86,20,24,6,6,3,5,1,3,6,1
XxebokMD,J7B86one,cdm****YgfPs,2023-02-11 17:27:15,2023-02-11 17:30:05,170,1,i2AJfe,电商直播影响力研究,120.221.100.8,115.9862978,36.4417325,中国,山东省,聊城市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-E主播,7,5,6,6,7,2,5,3,5,3,7,5,6,77,80,58,5,5,3,5,1,3,6,1
gBMDvkLd,QL0Z5ZjM,cdm****Mv4Kv,2023-02-11 16:36:08,2023-02-11 16:40:10,242,1,i2AJfe,电商直播影响力研究,112.96.106.114,113.6707360,22.9057360,中国,广东省,东莞市,MOBILE,iOS,WeChat,375px*667px,进入直播室-E主播,6,5,6,6,7,2,5,5,6,3,7,5,2,12,19,32,5,6,3,5,1,4,5,1
mWLGjw7z,AM969Dd7,cdm****GzfYm,2023-02-11 16:18:50,2023-02-11 16:21:56,186,1,i2AJfe,电商直播影响力研究,220.249.99.154,114.3615970,30.4728620,中国,湖北省,武汉市,COMPUTER,Windows,Chrome,1366px*768px,进入直播室-E主播,6,5,6,6,6,2,6,4,4,3,6,5,6,89,67,67,5,4,3,5,2,2,3,1
Jz7laqLQ,DMxKRx9e,cdm****PBbvu,2023-02-11 12:02:24,2023-02-11 12:10:11,467,1,i2AJfe,电商直播影响力研究,223.72.55.53,116.3974589,39.9388838,中国,北京市,市辖区,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-E主播,6,5,6,6,6,1,5,5,6,3,6,5,6,90,95,95,6,6,3,5,1,4,6,1
YKLO5dMk,kM1ZO0O7,cdm****Nd2JV,2023-02-10 12:54:31,2023-02-10 13:00:53,382,1,i2AJfe,电商直播影响力研究,222.181.204.67,108.8353960,29.5790300,中国,重庆市,市辖区,MOBILE,Android,WeChat,400px*867px,进入直播室-E主播,6,5,6,7,6,1,5,3,3,3,6,5,6,70,60,80,7,6,3,5,1,4,5,1
1veEj4MG,veE2Xl6M,cdm****oZabU,2023-02-09 14:56:12,2023-02-09 15:02:00,348,1,i2AJfe,电商直播影响力研究,113.25.111.1,112.7328372,37.7078663,中国,山西省,晋中市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-E主播,4,5,6,6,5,1,7,2,4,3,4,5,6,84,100,100,6,4,3,1,1,2,5,0
E9LQWvMP,qM6ZA90M,cdm****RwBeM,2023-02-09 10:20:38,2023-02-09 10:24:45,247,1,i2AJfe,电商直播影响力研究,111.181.86.201,114.8955721,30.3801463,中国,湖北省,鄂州市,COMPUTER,Windows,Chrome,1951px*1098px,进入直播室-E主播,6,5,6,6,7,1,7,5,5,3,6,5,6,46,79,98,5,6,3,5,1,4,6,1
nxLVPZMY,J7B869ze,cdm****xzsbz,2023-02-08 21:18:39,2023-02-08 21:24:58,379,1,i2AJfe,电商直播影响力研究,114.102.49.228,118.5118175,31.6853633,中国,安徽省,马鞍山市,COMPUTER,Windows,Chrome,1707px*960px,进入直播室-E主播,6,5,6,6,6,1,5,4,5,3,6,5,6,90,92,100,5,4,3,5,1,3,4,1
Y5M2BkM4,pLzKa40e,张*强,2023-02-08 18:21:25,2023-02-08 18:24:15,170,1,i2AJfe,电商直播影响力研究,112.224.23.75,117.0239850,36.6647610,中国,山东省,济南市,MOBILE,iOS,Apple WebKit,414px*896px,进入直播室-E主播,7,5,6,6,6,1,7,6,5,3,7,5,6,70,100,100,5,5,3,5,1,4,6,1
0ve8QgMp,AM969dv7,cdm****4ITmh,2023-02-08 18:15:20,2023-02-08 18:21:35,375,1,i2AJfe,电商直播影响力研究,111.36.28.120,116.5968167,35.3961037,中国,山东省,济宁市,COMPUTER,Windows,Chrome,1366px*768px,进入直播室-E主播,6,5,6,5,6,1,7,5,5,3,6,5,7,80,100,90,5,5,3,5,2,3,4,1
dqM6YRex,z7lbrm9e,cdm****OOsYw,2023-02-08 17:50:57,2023-02-08 18:00:45,588,1,i2AJfe,电商直播影响力研究,60.223.132.223,111.9948140,37.2067290,中国,山西省,晋中市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-E主播,6,5,6,6,6,1,7,4,5,3,6,5,6,97,63,70,6,6,3,5,2,2,4,1
0ve8rw7p,WMRlRpxL,cdm****M1wal,2023-02-08 17:52:16,2023-02-08 17:56:37,261,1,i2AJfe,电商直播影响力研究,121.32.181.202,113.3893937,23.1565381,中国,广东省,广州市,COMPUTER,Windows,Chrome,1920px*1080px,进入直播室-E主播,6,5,6,6,6,1,7,5,4,3,6,5,5,75,85,99,5,4,3,5,2,4,6,1
Wo7j2z7w,aMgbmbne,sc***5107,2023-02-08 10:19:31,2023-02-08 10:22:11,160,1,i2AJfe,电商直播影响力研究,36.98.30.87,119.5201580,39.9054620,中国,河北省,秦皇岛市,MOBILE,Android,Chrome,360px*803px,进入直播室-E主播,6,5,6,6,6,1,6,4,5,3,6,5,5,60,70,30,4,4,3,5,1,2,3,1
w5LwA2Ml,4enbkgBe,cdm****HWz5a,2023-02-07 23:03:57,2023-02-07 23:09:10,313,1,i2AJfe,电商直播影响力研究,223.149.115.29,109.9970470,27.0869350,中国,湖南省,怀化市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-E主播,6,5,6,6,6,1,5,3,5,3,6,5,6,70,90,20,6,5,3,5,1,4,5,1
dqM680Lx,Ke5ZpQOM,cdm****B13yx,2023-02-07 21:02:16,2023-02-07 21:06:02,226,1,i2AJfe,电商直播影响力研究,39.190.182.165,120.7678664,30.7404874,中国,浙江省,嘉兴市,COMPUTER,Windows,Chrome,1536px*864px,进入直播室-E主播,5,5,6,6,5,1,6,4,3,3,5,5,5,90,45,20,5,5,3,5,1,4,5,1
2AM9wrL6,p7Yxv9WM,邓*光,2023-02-07 18:23:19,2023-02-07 18:27:07,228,1,i2AJfe,电商直播影响力研究,14.16.132.221,113.7222610,22.8392380,中国,广东省,东莞市,MOBILE,iOS,Apple WebKit,375px*812px,进入直播室-E主播,6,5,6,6,6,3,3,6,6,3,7,5,6,80,73,90,6,7,3,5,1,4,4,1
E9LQ0Q7P,8MZlJ1jL,cdm****29xv7,2023-02-12 18:23:44,2023-02-12 18:28:04,260,1,i2AJfe,电商直播影响力研究,111.172.240.138,112.1531153,32.0612032,中国,湖北省,襄阳市,COMPUTER,Windows,Chrome,1280px*800px,进入直播室-E主播,6,5,7,6,6,1,7,6,5,3,6,5,7,100,95,95,7,6,3,5,1,3,5,1
